"date" "nhosp" "npos" "seed"
2020-02-17 0 NA 6
2020-02-18 0 NA 1
2020-02-19 0 NA 2
2020-02-20 0 NA NA
2020-02-21 0 NA NA
2020-02-22 0 NA NA
2020-02-23 0 NA 1
2020-02-24 0 NA 1
2020-02-25 0 NA NA
2020-02-26 0 NA 2
2020-02-27 0 NA 1
2020-02-28 0 NA 3
2020-02-29 0 NA 2
2020-03-01 0 NA 7
2020-03-02 0 NA 19
2020-03-03 0 NA 34
2020-03-04 0 NA 56
2020-03-05 0 NA 48
2020-03-06 1 NA 74
2020-03-07 0 NA 82
2020-03-08 0 NA 73
2020-03-09 0 NA 84
2020-03-10 1 NA 106
2020-03-11 3 NA 88
2020-03-12 2 NA 91
2020-03-13 3 NA 66
2020-03-14 5 NA 54
2020-03-15 3 NA 44
2020-03-16 15 NA 38
2020-03-17 11 NA 24
2020-03-18 17 NA 32
2020-03-19 27 NA 43
2020-03-20 17 NA 41
2020-03-21 20 NA 64
2020-03-22 22 NA 59
2020-03-23 31 NA 62
2020-03-24 28 NA 59
2020-03-25 39 NA 51
2020-03-26 31 NA 45
2020-03-27 25 NA 46
2020-03-28 27 NA 43
2020-03-29 16 NA 39
2020-03-30 26 NA 28
2020-03-31 22 NA 23
2020-04-01 23 198 23
2020-04-02 30 198 16
2020-04-03 18 164 10
2020-04-04 21 88 9
2020-04-05 13 72 8
2020-04-06 13 159 3
2020-04-07 11 140 4
2020-04-08 20 106 4
2020-04-09 10 103 3
2020-04-10 6 68 7
2020-04-11 10 110 6
2020-04-12 7 77 2
2020-04-13 10 77 5
2020-04-14 10 122 1
2020-04-15 8 103 3
2020-04-16 4 80 3
2020-04-17 14 108 3
2020-04-18 9 49 1
2020-04-19 5 36 1
2020-04-20 5 84 2
2020-04-21 2 78 NA
2020-04-22 8 77 1
2020-04-23 5 69 1
2020-04-24 8 53 NA
2020-04-25 4 25 NA
2020-04-26 6 37 NA
2020-04-27 2 71 NA
2020-04-28 6 50 1
2020-04-29 0 39 NA
2020-04-30 2 39 NA
2020-05-01 2 43 1
2020-05-02 2 23 1
2020-05-03 0 44 NA
2020-05-04 2 45 NA
2020-05-05 3 44 NA
2020-05-06 3 39 NA
2020-05-07 2 29 NA
2020-05-08 4 42 2
2020-05-09 1 11 NA
2020-05-10 1 12 1
2020-05-11 2 25 NA
2020-05-12 3 19 NA
2020-05-13 3 19 NA
2020-05-14 2 24 2
2020-05-15 1 23 NA
2020-05-16 0 13 1
2020-05-17 0 4 NA
2020-05-18 3 17 NA
2020-05-19 1 20 1
2020-05-20 1 19 1
2020-05-21 1 14 NA
2020-05-22 1 26 NA
2020-05-23 0 6 1
2020-05-24 0 6 1
2020-05-25 0 18 NA
2020-05-26 1 12 3
2020-05-27 3 18 NA
2020-05-28 2 16 NA
2020-05-29 1 16 1
2020-05-30 0 0 NA
2020-05-31 2 6 1
2020-06-01 1 7 NA
2020-06-02 0 31 1
2020-06-03 0 12 1
2020-06-04 0 17 1
2020-06-05 1 30 NA
2020-06-06 0 8 NA
2020-06-07 0 9 NA
2020-06-08 1 19 1
2020-06-09 1 13 NA
2020-06-10 1 14 2
2020-06-11 2 11 4
2020-06-12 1 13 3
2020-06-13 0 7 4
2020-06-14 0 6 5
2020-06-15 1 18 5
2020-06-16 0 36 1
2020-06-17 1 15 3
2020-06-18 0 13 2
2020-06-19 1 18 1
2020-06-20 0 6 5
2020-06-21 0 4 1
2020-06-22 2 28 NA
2020-06-23 0 13 NA
2020-06-24 1 21 3
2020-06-25 1 17 3
2020-06-26 1 22 NA
2020-06-27 2 10 3
2020-06-28 2 1 1
2020-06-29 0 26 NA
2020-06-30 2 11 2
2020-07-01 0 8 2
2020-07-02 1 9 1
2020-07-03 1 10 2
2020-07-04 0 2 1
2020-07-05 0 1 NA
2020-07-06 0 14 2
2020-07-07 0 10 3
2020-07-08 1 11 2
2020-07-09 0 8 NA
2020-07-10 0 13 1
2020-07-11 1 4 2
2020-07-12 0 5 4
2020-07-13 2 19 3
2020-07-14 0 8 6
2020-07-15 1 6 NA
2020-07-16 2 4 7
2020-07-17 1 12 3
2020-07-18 0 1 7
2020-07-19 0 3 5
2020-07-20 0 21 4
2020-07-21 0 6 4
2020-07-22 0 22 4
2020-07-23 0 6 6
2020-07-24 1 24 4
2020-07-25 0 6 6
2020-07-26 0 9 2
2020-07-27 1 24 9
2020-07-28 0 16 9
2020-07-29 0 37 5
2020-07-30 1 23 5
2020-07-31 3 72 10
2020-08-01 2 14 11
2020-08-02 1 13 5
2020-08-03 1 38 10
2020-08-04 0 40 13
2020-08-05 1 66 11
2020-08-06 1 79 5
2020-08-07 1 80 11
2020-08-08 1 35 6
2020-08-09 1 34 7
2020-08-10 0 63 17
2020-08-11 1 43 20
2020-08-12 0 63 12
2020-08-13 0 54 18
2020-08-14 1 76 19
2020-08-15 3 44 15
2020-08-16 2 27 12
2020-08-17 1 74 13
2020-08-18 1 58 3
2020-08-19 1 60 11
2020-08-20 2 51 5
2020-08-21 3 53 3
2020-08-22 1 45 8
2020-08-23 0 19 7
2020-08-24 3 67 5
2020-08-25 1 42 6
2020-08-26 2 40 3
2020-08-27 3 52 8
2020-08-28 2 84 7
2020-08-29 1 42 3
2020-08-30 0 50 7
2020-08-31 1 148 9
2020-09-01 2 115 9
2020-09-02 1 101 8
2020-09-03 2 125 10
2020-09-04 3 119 6
2020-09-05 0 73 5
2020-09-06 2 60 5
2020-09-07 3 132 8
2020-09-08 2 113 4
2020-09-09 3 124 8
2020-09-10 3 132 13
2020-09-11 3 119 8
2020-09-12 2 67 5
2020-09-13 1 78 6
2020-09-14 6 104 8
2020-09-15 1 133 8
2020-09-16 4 137 7
2020-09-17 1 117 10
2020-09-18 3 94 8
2020-09-19 3 58 7
2020-09-20 2 77 13
2020-09-21 3 163 5
2020-09-22 3 101 6
2020-09-23 2 143 5
2020-09-24 3 133 9
2020-09-25 1 130 11
2020-09-26 0 63 6
2020-09-27 1 54 15
2020-09-28 6 124 9
2020-09-29 4 110 12
2020-09-30 3 120 11
2020-10-01 5 131 20
2020-10-02 4 134 19
2020-10-03 0 110 13
2020-10-04 0 89 11
2020-10-05 0 209 14
2020-10-06 1 198 20
2020-10-07 5 199 23
2020-10-08 3 168 29
2020-10-09 10 141 27
2020-10-10 4 65 33
2020-10-11 6 78 28
2020-10-12 3 167 17
2020-10-13 2 155 26
2020-10-14 1 162 22
2020-10-15 2 141 18
2020-10-16 4 137 27
2020-10-17 3 88 27
2020-10-18 3 93 27
2020-10-19 1 219 41
2020-10-20 6 183 35
2020-10-21 7 221 29
2020-10-22 4 285 40
2020-10-23 2 368 42
2020-10-24 7 231 42
2020-10-25 6 202 53
2020-10-26 9 487 61
2020-10-27 5 391 56
2020-10-28 7 515 55
2020-10-29 12 431 59
2020-10-30 5 617 59
2020-10-31 6 385 48
2020-11-01 5 323 40
2020-11-02 13 647 34
2020-11-03 15 683 45
2020-11-04 9 690 33
2020-11-05 18 602 31
2020-11-06 17 650 29
2020-11-07 12 388 22
2020-11-08 9 385 30
2020-11-09 15 707 28
2020-11-10 11 603 18
2020-11-11 21 662 22
2020-11-12 17 637 28
2020-11-13 19 697 30
2020-11-14 8 379 18
2020-11-15 12 405 17
2020-11-16 18 722 23
2020-11-17 14 635 16
2020-11-18 11 652 17
2020-11-19 15 564 17
2020-11-20 12 519 17
2020-11-21 15 288 19
2020-11-22 15 279 17
2020-11-23 15 610 20
2020-11-24 13 415 16
2020-11-25 19 513 14
2020-11-26 10 477 14
2020-11-27 15 447 8
2020-11-28 13 236 14
2020-11-29 7 228 13
2020-11-30 15 448 15
2020-12-01 17 362 9
2020-12-02 10 420 7
2020-12-03 13 400 14
2020-12-04 25 382 14
